indicator,country,occupation,year,value
percent women,EL,9,2023,52.6%
total employment,ES,9,2023,"2,484,800"
percent women,ES,9,2023,57.2%
total employment,FI,9,2023,"180,500"
percent women,FI,9,2023,51.1%
total employment,FR,9,2023,"2,435,400"
percent women,FR,9,2023,59.1%
total employment,HR,9,2023,"125,400"
percent women,HR,9,2023,52.9%
total employment,HU,9,2023,"422,400"
percent women,HU,9,2023,52.1%
total employment,IE,9,2023,"203,200"
percent women,IE,9,2023,36.1%
total employment,IT,9,2023,"2,481,500"
percent women,IT,9,2023,43.6%
total employment,LT,9,2023,"153,500"
percent women,LT,9,2023,52.7%
total employment,LU,9,2023,"23,800"
percent women,LU,9,2023,72.2%
total employment,LV,9,2023,"108,500"
percent women,LV,9,2023,47.6%
total employment,MT,9,2023,"26,100"
percent women,MT,9,2023,35.8%
total employment,NL,9,2023,"755,700"
percent women,NL,9,2023,46.6%
total employment,PL,9,2023,"771,900"
percent women,PL,9,2023,69.5%
total employment,PT,9,2023,"458,900"
percent women,PT,9,2023,65.9%
total employment,RO,9,2023,"795,500"
percent women,RO,9,2023,38%
total employment,SE,9,2023,"217,600"
percent women,SE,9,2023,44%
total employment,SI,9,2023,"108,200"
percent women,SI,9,2023,54.6%
total employment,SK,9,2023,"160,900"
percent women,SK,9,2023,52.2%
total employment,EU,9.92,2023,"1,557,600"
percent women,EU,9.92,2023,27.9%
percent unemployed,EU,9.92,2023,9.1%
relative income,EU,9.92,2023,80.4%
total employment,AT,9.92,2023,"6,500"
percent women,AT,9.92,2021,36%
total employment,BE,9.92,2023,"25,100"
percent women,BE,9.92,2023,12%
total employment,BG,9.92,2023,"38,100"
percent women,BG,9.92,2023,37.9%
total employment,CY,9.92,2023,"5,200"
percent women,CY,9.92,2023,17.2%
total employment,CZ,9.92,2023,"12,400"
percent women,CZ,9.92,2023,26.4%
total employment,DE,9.92,2023,"145,200"
percent women,DE,9.92,2023,28.3%
total employment,DK,9.92,2023,"20,400"
percent women,DK,9.92,2023,33%
total employment,EE,9.92,2023,"3,000"
percent women,EE,9.92,2022,45.5%
total employment,EL,9.92,2023,"36,100"
percent women,EL,9.92,2023,23.5%
total employment,ES,9.92,2023,"329,800"
percent women,ES,9.92,2023,23.6%
total employment,FI,9.92,2023,"8,200"
percent women,FI,9.92,2021,49.2%
total employment,FR,9.92,2023,"149,800"
percent women,FR,9.92,2023,13.8%
total employment,HR,9.92,2023,"21,900"
percent women,HR,9.92,2023,38.1%
total employment,HU,9.92,2023,"56,100"
percent women,HU,9.92,2023,38.3%
total employment,IE,9.92,2023,"22,500"
percent women,IE,9.92,2020,31.6%
total employment,IT,9.92,2023,"375,500"
percent women,IT,9.92,2023,25%
total employment,LT,9.92,2023,"14,100"
percent women,LT,9.92,2023,52.5%
total employment,LU,9.92,2022,"1,000"
total employment,LV,9.92,2023,"7,100"
percent women,LV,9.92,2020,33.2%
total employment,NL,9.92,2023,"31,700"
percent women,NL,9.92,2023,34.7%
total employment,PL,9.92,2023,"45,700"
percent women,PL,9.92,2023,34.9%
total employment,PT,9.92,2023,"23,800"
percent women,PT,9.92,2023,34.1%
total employment,RO,9.92,2023,"158,600"
percent women,RO,9.92,2023,45.1%
total employment,SE,9.92,2023,"4,200"
percent women,SE,9.92,2018,45.3%
total employment,SI,9.92,2023,"8,800"
percent women,SI,9.92,2023,47.5%
