indicator,country,occupation,year,value
total employment,SK,5.51,2023,"136,100"
percent women,SK,5.51,2023,57.1%
total employment,EU,5.54,2023,"3,200,000"
percent women,EU,5.54,2023,17.9%
percent unemployed,EU,5.54,2023,2.5%
relative income,EU,5.54,2023,152.5%
total employment,AT,5.54,2023,"48,200"
percent women,AT,5.54,2023,20.6%
total employment,BE,5.54,2023,"55,500"
percent women,BE,5.54,2023,16%
total employment,BG,5.54,2023,"98,800"
percent women,BG,5.54,2023,6.4%
total employment,CY,5.54,2023,"11,600"
percent women,CY,5.54,2023,29.8%
total employment,CZ,5.54,2023,"92,700"
percent women,CZ,5.54,2023,21.5%
total employment,DE,5.54,2023,"535,400"
percent women,DE,5.54,2023,23.3%
total employment,DK,5.54,2023,"23,900"
percent women,DK,5.54,2023,27%
total employment,EE,5.54,2023,"7,900"
percent women,EE,5.54,2022,20.6%
total employment,EL,5.54,2023,"104,000"
percent women,EL,5.54,2023,22.6%
total employment,ES,5.54,2023,"486,000"
percent women,ES,5.54,2023,13.4%
total employment,FI,5.54,2023,"17,100"
percent women,FI,5.54,2023,25.4%
total employment,FR,5.54,2023,"436,400"
percent women,FR,5.54,2023,23.5%
total employment,HR,5.54,2023,"41,600"
percent women,HR,5.54,2023,12.3%
total employment,HU,5.54,2023,"102,100"
percent women,HU,5.54,2023,15.3%
total employment,IE,5.54,2023,"37,900"
percent women,IE,5.54,2022,23.7%
total employment,IT,5.54,2023,"294,700"
percent women,IT,5.54,2023,14.9%
total employment,LT,5.54,2023,"15,800"
percent women,LT,5.54,2023,13.4%
total employment,LU,5.54,2023,"4,000"
percent women,LU,5.54,2022,17.1%
total employment,LV,5.54,2023,"14,200"
percent women,LV,5.54,2020,25.2%
total employment,NL,5.54,2023,"102,600"
percent women,NL,5.54,2023,26.9%
total employment,PL,5.54,2023,"249,300"
percent women,PL,5.54,2023,15.5%
total employment,PT,5.54,2023,"106,400"
percent women,PT,5.54,2023,12.3%
total employment,RO,5.54,2023,"209,000"
percent women,RO,5.54,2023,8.5%
total employment,SE,5.54,2023,"45,900"
percent women,SE,5.54,2023,30.9%
total employment,SI,5.54,2023,"13,500"
percent women,SI,5.54,2021,13.2%
total employment,SK,5.54,2023,"45,400"
percent women,SK,5.54,2023,18.4%
total employment,EU,5.52,2023,"13,901,200"
percent women,EU,5.52,2023,66.2%
percent unemployed,EU,5.52,2023,3.8%
relative income,EU,5.52,2023,93%
total employment,AT,5.52,2023,"326,200"
percent women,AT,5.52,2023,70.8%
total employment,BE,5.52,2023,"252,300"
percent women,BE,5.52,2023,65.1%
total employment,BG,5.52,2023,"281,200"
percent women,BG,5.52,2023,71.7%
total employment,CY,5.52,2023,"37,300"
percent women,CY,5.52,2023,65.5%
total employment,CZ,5.52,2023,"279,300"
percent women,CZ,5.52,2023,75%
total employment,DE,5.52,2023,"2,532,900"
percent women,DE,5.52,2023,67.8%
total employment,DK,5.52,2023,"186,900"
percent women,DK,5.52,2023,57.6%
total employment,EE,5.52,2023,"32,400"
percent women,EE,5.52,2023,82.2%
total employment,EL,5.52,2023,"576,500"
percent women,EL,5.52,2023,53.4%
total employment,ES,5.52,2023,"2,063,300"
percent women,ES,5.52,2023,63.8%
total employment,FI,5.52,2023,"154,900"
percent women,FI,5.52,2023,64.9%
total employment,FR,5.52,2023,"1,258,900"
percent women,FR,5.52,2023,65.1%
total employment,HR,5.52,2023,"130,400"
percent women,HR,5.52,2023,75.5%
total employment,HU,5.52,2023,"313,500"
percent women,HU,5.52,2023,71.1%
total employment,IE,5.52,2023,"161,200"
percent women,IE,5.52,2023,58.2%
total employment,IT,5.52,2023,"1,698,000"
percent women,IT,5.52,2023,58.2%
total employment,LT,5.52,2023,"79,800"
percent women,LT,5.52,2023,79.5%
total employment,LU,5.52,2023,"7,800"
percent women,LU,5.52,2023,63.1%
total employment,LV,5.52,2023,"47,800"
percent women,LV,5.52,2023,82.4%
total employment,NL,5.52,2023,"661,600"
percent women,NL,5.52,2023,62.9%
total employment,PL,5.52,2023,"1,225,300"
percent women,PL,5.52,2023,73.2%
total employment,PT,5.52,2023,"392,700"
percent women,PT,5.52,2023,64%
total employment,RO,5.52,2023,"729,800"
percent women,RO,5.52,2023,80.5%
total employment,SE,5.52,2023,"219,400"
percent women,SE,5.52,2023,57.7%
total employment,SI,5.52,2023,"56,100"
percent women,SI,5.52,2023,70%
total employment,SK,5.52,2023,"195,600"
percent women,SK,5.52,2023,77%
total employment,EU,7,2023,"23,311,300"
percent women,EU,7,2023,10.9%
percent unemployed,EU,7,2023,2.9%
relative income,EU,7,2023,102%
total employment,AT,7,2023,"524,300"
percent women,AT,7,2023,10%
total employment,BE,7,2023,"495,500"
percent women,BE,7,2023,6.2%
total employment,BG,7,2023,"356,900"
percent women,BG,7,2023,22.8%
total employment,CY,7,2023,"46,600"
percent women,CY,7,2023,4.9%
total employment,CZ,7,2023,"832,100"
percent women,CZ,7,2023,10%
total employment,DE,7,2023,"4,536,400"
percent women,DE,7,2023,10.1%
total employment,DK,7,2023,"215,900"
percent women,DK,7,2023,8.6%
total employment,EE,7,2023,"95,900"
percent women,EE,7,2023,13.3%
total employment,EL,7,2023,"418,000"
percent women,EL,7,2023,7.9%
total employment,ES,7,2023,"2,254,800"
percent women,ES,7,2023,9.5%
total employment,FI,7,2023,"254,400"
percent women,FI,7,2023,8.3%
total employment,FR,7,2023,"2,717,900"
percent women,FR,7,2023,10.3%
total employment,HR,7,2023,"195,800"
percent women,HR,7,2023,7.9%
total employment,HU,7,2023,"652,900"
percent women,HU,7,2023,11.2%
total employment,IE,7,2023,"222,500"
percent women,IE,7,2023,10.6%
total employment,IT,7,2023,"3,062,000"
percent women,IT,7,2023,10.1%
total employment,LT,7,2023,"192,300"
percent women,LT,7,2023,19.8%
total employment,LU,7,2023,"15,900"
percent women,LU,7,2022,5%
total employment,LV,7,2023,"90,700"
percent women,LV,7,2023,17.9%
total employment,MT,7,2023,"30,500"
percent women,MT,7,2023,6%
total employment,NL,7,2023,"673,200"
percent women,NL,7,2023,8.3%
total employment,PL,7,2023,"2,457,100"
percent women,PL,7,2023,11.5%
total employment,PT,7,2023,"661,400"
percent women,PT,7,2023,14.2%
total employment,RO,7,2023,"1,364,800"
percent women,RO,7,2023,18.8%
total employment,SE,7,2023,"433,700"
percent women,SE,7,2023,8.3%
total employment,SI,7,2023,"134,100"
percent women,SI,7,2023,9.7%
total employment,SK,7,2023,"375,700"
percent women,SK,7,2023,12.7%
total employment,EU,7.71,2023,"7,733,500"
percent women,EU,7.71,2023,2.1%
percent unemployed,EU,7.71,2023,3.7%
relative income,EU,7.71,2023,97.7%
total employment,AT,7.71,2023,"174,900"
percent women,AT,7.71,2023,3.9%
total employment,BE,7.71,2023,"225,900"
percent women,BE,7.71,2023,2.3%
total employment,BG,7.71,2023,"115,500"
total employment,CY,7.71,2023,"22,600"
total employment,CZ,7.71,2023,"265,800"
percent women,CZ,7.71,2023,1.4%
total employment,DE,7.71,2023,"1,059,800"
percent women,DE,7.71,2023,3.9%
total employment,DK,7.71,2023,"91,500"
percent women,DK,7.71,2023,7.4%
total employment,EE,7.71,2023,"32,600"
percent women,EE,7.71,2022,3.1%
total employment,EL,7.71,2023,"131,000"
percent women,EL,7.71,2022,3.3%
total employment,ES,7.71,2023,"919,900"
percent women,ES,7.71,2023,1.5%
total employment,FI,7.71,2023,"98,000"
percent women,FI,7.71,2023,5%
total employment,FR,7.71,2023,"983,400"
percent women,FR,7.71,2023,2.5%
total employment,HR,7.71,2023,"50,600"
percent women,HR,7.71,2012,2.5%
total employment,HU,7.71,2023,"203,200"
percent women,HU,7.71,2020,1.4%
total employment,IE,7.71,2023,"69,000"
total employment,IT,7.71,2023,"967,100"
percent women,IT,7.71,2023,0.8%
total employment,LT,7.71,2023,"66,200"
percent women,LT,7.71,2023,3%
total employment,LU,7.71,2023,"6,500"
total employment,LV,7.71,2023,"27,300"
percent women,LV,7.71,2015,3.8%
total employment,NL,7.71,2023,"265,800"
percent women,NL,7.71,2023,2.6%
total employment,PL,7.71,2023,"928,100"
percent women,PL,7.71,2023,1.6%
total employment,PT,7.71,2023,"238,900"
total employment,RO,7.71,2023,"457,100"
percent women,RO,7.71,2020,1.6%
total employment,SE,7.71,2023,"180,300"
percent women,SE,7.71,2023,3.5%
total employment,SI,7.71,2023,"35,900"
percent women,SI,7.71,2020,1.9%
total employment,SK,7.71,2023,"116,600"
total employment,EU,7.74,2023,"3,124,100"
percent women,EU,7.74,2023,4.3%
percent unemployed,EU,7.74,2023,2.2%
relative income,EU,7.74,2023,115.4%
total employment,AT,7.74,2023,"82,000"
percent women,AT,7.74,2019,4.1%
total employment,BE,7.74,2023,"78,100"
percent women,BE,7.74,2011,3%
total employment,BG,7.74,2023,"37,600"
total employment,CY,7.74,2023,"8,400"
total employment,CZ,7.74,2023,"97,900"
percent women,CZ,7.74,2023,4.3%
total employment,DE,7.74,2023,"729,600"
percent women,DE,7.74,2023,8.4%
total employment,DK,7.74,2023,"31,900"
total employment,EE,7.74,2023,"10,500"
total employment,EL,7.74,2023,"75,500"
percent women,EL,7.74,2021,5.1%
total employment,ES,7.74,2023,"349,200"
percent women,ES,7.74,2023,0.9%
total employment,FI,7.74,2023,"37,800"
percent women,FI,7.74,2022,5.2%
total employment,FR,7.74,2023,"301,300"
total employment,HR,7.74,2023,"36,700"
total employment,HU,7.74,2023,"87,700"
percent women,HU,7.74,2020,3.8%
total employment,IE,7.74,2023,"39,200"
total employment,IT,7.74,2023,"360,400"
percent women,IT,7.74,2022,1%
total employment,LT,7.74,2023,"16,600"
percent women,LT,7.74,2023,6.8%
total employment,LU,7.74,2023,"2,300"
total employment,LV,7.74,2023,"10,000"
total employment,NL,7.74,2023,"102,700"
percent women,NL,7.74,2023,4.2%
total employment,PL,7.74,2023,"260,500"
percent women,PL,7.74,2023,4.2%
total employment,PT,7.74,2023,"77,000"
total employment,RO,7.74,2023,"150,400"
percent women,RO,7.74,2023,10.9%
total employment,SE,7.74,2023,"75,900"
percent women,SE,7.74,2021,4.2%
total employment,SI,7.74,2023,"14,300"
percent women,SI,7.74,2019,4.3%
total employment,SK,7.74,2023,"50,600"
total employment,EU,7.73,2023,"926,900"
percent women,EU,7.73,2023,35.6%
percent unemployed,EU,7.73,2021,3%
relative income,EU,7.73,2023,106.2%
total employment,AT,7.73,2023,"16,700"
percent women,AT,7.73,2023,34.1%
total employment,BE,7.73,2023,"12,600"
percent women,BE,7.73,2021,19.1%
total employment,BG,7.73,2023,"13,200"
percent women,BG,7.73,2021,40.9%
total employment,CY,7.73,2023,"1,600"
percent women,CY,7.73,2020,34.4%
total employment,CZ,7.73,2023,"26,000"
percent women,CZ,7.73,2023,43.8%
total employment,DE,7.73,2023,"189,500"
percent women,DE,7.73,2023,33.2%
total employment,DK,7.73,2023,"8,800"
percent women,DK,7.73,2023,46.8%
total employment,EE,7.73,2023,"3,500"
percent women,EE,7.73,2022,48.1%
total employment,EL,7.73,2023,"13,500"
percent women,EL,7.73,2020,19.8%
total employment,ES,7.73,2023,"85,000"
percent women,ES,7.73,2023,32.5%
total employment,FI,7.73,2023,"7,900"
percent women,FI,7.73,2022,27.9%
total employment,FR,7.73,2023,"109,000"
percent women,FR,7.73,2023,47.1%
total employment,HR,7.73,2023,"7,000"
percent women,HR,7.73,2023,23.5%
total employment,HU,7.73,2023,"22,000"
percent women,HU,7.73,2023,49.1%
total employment,IE,7.73,2023,"9,600"
percent women,IE,7.73,2018,36.7%
total employment,IT,7.73,2023,"210,100"
percent women,IT,7.73,2023,28.6%
total employment,LT,7.73,2023,"7,100"
percent women,LT,7.73,2023,60%
total employment,LU,7.73,2022,600
total employment,LV,7.73,2020,"3,400"
percent women,LV,7.73,2017,35.2%
total employment,NL,7.73,2023,"28,100"
percent women,NL,7.73,2023,31.6%
total employment,PL,7.73,2023,"70,000"
percent women,PL,7.73,2023,35.2%
total employment,PT,7.73,2023,"25,800"
percent women,PT,7.73,2023,54.5%
total employment,RO,7.73,2023,"22,500"
percent women,RO,7.73,2023,57%
total employment,SE,7.73,2023,"16,400"
percent women,SE,7.73,2023,32.5%
total employment,SI,7.73,2023,"6,700"
percent women,SI,7.73,2020,19%
total employment,SK,7.73,2023,"11,100"
percent women,SK,7.73,2020,32.6%
total employment,EU,7.72,2023,"7,509,400"
percent women,EU,7.72,2023,4.2%
percent unemployed,EU,7.72,2023,2.2%
relative income,EU,7.72,2023,108.7%
total employment,AT,7.72,2023,"179,000"
percent women,AT,7.72,2023,5%
total employment,BE,7.72,2023,"112,300"
percent women,BE,7.72,2023,3.4%
total employment,BG,7.72,2023,"103,200"
percent women,BG,7.72,2023,10.1%
total employment,CY,7.72,2023,"9,100"
total employment,CZ,7.72,2023,"320,400"
percent women,CZ,7.72,2023,3.7%
total employment,DE,7.72,2023,"1,920,100"
percent women,DE,7.72,2023,5.2%
total employment,DK,7.72,2023,"66,700"
percent women,DK,7.72,2011,2.5%
total employment,EE,7.72,2023,"33,300"
percent women,EE,7.72,2022,3.6%
total employment,EL,7.72,2023,"107,400"
percent women,EL,7.72,2017,2.2%
total employment,ES,7.72,2023,"549,500"
percent women,ES,7.72,2023,1.1%
total employment,FI,7.72,2023,"87,500"
percent women,FI,7.72,2023,3.8%
total employment,FR,7.72,2023,"826,100"
percent women,FR,7.72,2023,5.4%
total employment,HR,7.72,2023,"77,100"
percent women,HR,7.72,2023,4.7%
total employment,HU,7.72,2023,"226,900"
percent women,HU,7.72,2023,2.8%
total employment,IE,7.72,2023,"60,700"
total employment,IT,7.72,2023,"928,000"
percent women,IT,7.72,2023,3.3%
total employment,LT,7.72,2023,"56,300"
percent women,LT,7.72,2023,2.7%
total employment,LU,7.72,2023,"4,900"
total employment,LV,7.72,2023,"29,600"
total employment,NL,7.72,2023,"165,800"
percent women,NL,7.72,2023,3.2%
total employment,PL,7.72,2023,"722,800"
percent women,PL,7.72,2023,4.6%
total employment,PT,7.72,2023,"175,600"
percent women,PT,7.72,2023,4.3%
total employment,RO,7.72,2023,"439,500"
percent women,RO,7.72,2023,4.2%
total employment,SE,7.72,2023,"130,100"
percent women,SE,7.72,2023,5.9%
total employment,SI,7.72,2023,"51,900"
percent women,SI,7.72,2023,4.1%
total employment,SK,7.72,2023,"125,600"
percent women,SK,7.72,2020,3.5%
total employment,EU,7.75,2023,"3,931,600"
percent women,EU,7.75,2023,40.6%
percent unemployed,EU,7.75,2023,3.7%
relative income,EU,7.75,2023,82%
total employment,AT,7.75,2023,"71,800"
percent women,AT,7.75,2023,37.7%
total employment,BE,7.75,2023,"66,500"
percent women,BE,7.75,2023,26.3%
total employment,BG,7.75,2023,"87,500"
percent women,BG,7.75,2023,70.6%
total employment,CY,7.75,2023,"5,000"
percent women,CY,7.75,2023,32%
total employment,CZ,7.75,2023,"122,000"
percent women,CZ,7.75,2023,42.8%
total employment,DE,7.75,2023,"637,400"
percent women,DE,7.75,2023,30.6%
total employment,DK,7.75,2023,"16,900"
percent women,DK,7.75,2023,30.1%
total employment,EE,7.75,2023,"16,100"
percent women,EE,7.75,2023,51.6%
total employment,EL,7.75,2023,"90,600"
percent women,EL,7.75,2023,30.2%
total employment,ES,7.75,2023,"351,200"
percent women,ES,7.75,2023,46.2%
total employment,FI,7.75,2023,"23,300"
percent women,FI,7.75,2023,35.4%
total employment,FR,7.75,2023,"481,800"
percent women,FR,7.75,2023,30.3%
total employment,HR,7.75,2023,"24,300"
percent women,HR,7.75,2023,38%
total employment,HU,7.75,2023,"113,100"
percent women,HU,7.75,2023,46.6%
total employment,IE,7.75,2023,"43,900"
percent women,IE,7.75,2023,39.7%
total employment,IT,7.75,2023,"596,400"
percent women,IT,7.75,2023,34.6%
total employment,LT,7.75,2023,"46,100"
percent women,LT,7.75,2023,63.4%
total employment,LU,7.75,2022,"1,300"
percent women,LU,7.75,2019,25.7%
total employment,LV,7.75,2023,"21,200"
percent women,LV,7.75,2023,62.4%
total employment,NL,7.75,2023,"73,600"
percent women,NL,7.75,2023,32.1%
total employment,PL,7.75,2023,"474,100"
percent women,PL,7.75,2023,42.1%
total employment,PT,7.75,2023,"144,100"
percent women,PT,7.75,2023,47.9%
total employment,RO,7.75,2023,"295,300"
percent women,RO,7.75,2023,69.2%
total employment,SE,7.75,2023,"30,900"
percent women,SE,7.75,2023,45.3%
total employment,SI,7.75,2023,"25,400"
percent women,SI,7.75,2023,33.7%
total employment,SK,7.75,2023,"71,300"
percent women,SK,7.75,2023,52.1%
