indicator,country,occupation,year,value
percent women,EL,4.44,2022,67%
total employment,ES,4.44,2022,"74,300"
percent women,ES,4.44,2022,48.6%
total employment,FI,4.44,2022,"25,500"
percent women,FI,4.44,2022,54%
total employment,FR,4.44,2022,"276,000"
percent women,FR,4.44,2022,68.4%
total employment,HR,4.44,2022,"11,800"
percent women,HR,4.44,2022,43.8%
total employment,HU,4.44,2022,"31,700"
percent women,HU,4.44,2022,65.7%
total employment,IE,4.44,2022,"78,900"
percent women,IE,4.44,2022,80.4%
total employment,IT,4.44,2022,"181,800"
percent women,IT,4.44,2022,53.9%
total employment,LT,4.44,2022,"13,600"
percent women,LT,4.44,2022,68.6%
total employment,LU,4.44,2022,"1,800"
percent women,LU,4.44,2022,45.3%
total employment,NL,4.44,2022,"103,100"
percent women,NL,4.44,2022,63.2%
total employment,PL,4.44,2022,"102,900"
percent women,PL,4.44,2022,46.5%
total employment,PT,4.44,2022,"14,900"
percent women,PT,4.44,2022,31.4%
total employment,RO,4.44,2022,"37,900"
percent women,RO,4.44,2022,59%
total employment,SE,4.44,2022,"24,300"
percent women,SE,4.44,2022,50.4%
total employment,SI,4.44,2022,"7,400"
percent women,SI,4.44,2022,49.4%
total employment,SK,4.44,2022,"23,500"
percent women,SK,4.44,2022,85.6%
total employment,EU,9,2022,"17,383,000"
percent women,EU,9,2022,53.6%
percent unemployed,EU,9,2022,6.4%
relative income,EU,9,2020,100%
total employment,AT,9,2022,"353,700"
percent women,AT,9,2022,58.6%
total employment,BE,9,2022,"494,600"
percent women,BE,9,2022,58.1%
total employment,BG,9,2022,"398,100"
percent women,BG,9,2022,37.2%
total employment,CY,9,2022,"60,500"
percent women,CY,9,2022,61.6%
total employment,CZ,9,2022,"295,400"
percent women,CZ,9,2022,59.3%
total employment,DE,9,2022,"3,205,300"
percent women,DE,9,2022,54.8%
total employment,DK,9,2022,"314,400"
percent women,DK,9,2022,43.8%
total employment,EE,9,2022,"54,400"
percent women,EE,9,2022,58.3%
