indicator,country,occupation,year,value
relative income,EU,5.52,2020,92.8%
total employment,AT,5.52,2022,"316,900"
percent women,AT,5.52,2022,71.2%
total employment,BE,5.52,2022,"282,400"
percent women,BE,5.52,2022,62.6%
total employment,BG,5.52,2022,"308,800"
percent women,BG,5.52,2022,74.9%
total employment,CY,5.52,2022,"35,400"
percent women,CY,5.52,2022,66.8%
total employment,CZ,5.52,2022,"293,000"
percent women,CZ,5.52,2022,75.7%
total employment,DE,5.52,2022,"2,524,900"
percent women,DE,5.52,2022,69.4%
total employment,DK,5.52,2022,"193,200"
percent women,DK,5.52,2022,57.9%
total employment,EE,5.52,2022,"33,100"
percent women,EE,5.52,2022,79.9%
total employment,EL,5.52,2022,"465,300"
percent women,EL,5.52,2022,54.5%
total employment,ES,5.52,2022,"1,965,800"
percent women,ES,5.52,2022,60.8%
total employment,FI,5.52,2022,"154,500"
percent women,FI,5.52,2022,62.5%
total employment,FR,5.52,2022,"1,294,800"
percent women,FR,5.52,2022,63.8%
total employment,HR,5.52,2022,"138,000"
percent women,HR,5.52,2022,75.3%
total employment,HU,5.52,2022,"314,600"
percent women,HU,5.52,2022,70.9%
total employment,IE,5.52,2022,"166,300"
percent women,IE,5.52,2022,61.4%
total employment,IT,5.52,2022,"1,667,400"
percent women,IT,5.52,2022,57.5%
total employment,LT,5.52,2022,"73,200"
percent women,LT,5.52,2022,83.3%
total employment,LU,5.52,2022,"6,600"
percent women,LU,5.52,2022,69.9%
total employment,LV,5.52,2022,"55,600"
percent women,LV,5.52,2022,83.8%
total employment,NL,5.52,2022,"674,900"
percent women,NL,5.52,2022,62.3%
total employment,PL,5.52,2022,"1,222,100"
percent women,PL,5.52,2022,73.1%
total employment,PT,5.52,2022,"387,200"
percent women,PT,5.52,2022,62.1%
total employment,RO,5.52,2022,"748,200"
percent women,RO,5.52,2022,79.5%
total employment,SE,5.52,2022,"225,000"
percent women,SE,5.52,2022,56.7%
total employment,SI,5.52,2022,"52,800"
percent women,SI,5.52,2022,70.2%
total employment,SK,5.52,2022,"188,000"
percent women,SK,5.52,2022,77.6%
total employment,EU,7,2022,"23,402,900"
percent women,EU,7,2022,10.7%
percent unemployed,EU,7,2022,2.8%
relative income,EU,7,2020,100%
total employment,AT,7,2022,"545,600"
percent women,AT,7,2022,9.4%
total employment,BE,7,2022,"494,200"
percent women,BE,7,2022,6%
total employment,BG,7,2022,"383,700"
percent women,BG,7,2022,24%
total employment,CY,7,2022,"48,300"
percent women,CY,7,2022,4.1%
total employment,CZ,7,2022,"816,400"
percent women,CZ,7,2022,10.6%
total employment,DE,7,2022,"4,694,700"
percent women,DE,7,2022,11%
total employment,DK,7,2022,"218,600"
percent women,DK,7,2022,7.5%
total employment,EE,7,2022,"90,300"
percent women,EE,7,2022,12.2%
total employment,EL,7,2022,"381,500"
percent women,EL,7,2022,6.9%
total employment,ES,7,2022,"2,184,900"
percent women,ES,7,2022,7%
total employment,FI,7,2022,"254,000"
percent women,FI,7,2022,8.2%
total employment,FR,7,2022,"2,782,000"
percent women,FR,7,2022,9.4%
total employment,HR,7,2022,"216,200"
percent women,HR,7,2022,7.4%
total employment,HU,7,2022,"624,700"
percent women,HU,7,2022,11.1%
total employment,IE,7,2022,"219,100"
percent women,IE,7,2022,6.9%
total employment,IT,7,2022,"3,058,300"
percent women,IT,7,2022,9.9%
total employment,LT,7,2022,"189,600"
percent women,LT,7,2022,22.7%
total employment,LU,7,2022,"16,100"
percent women,LU,7,2022,5%
total employment,LV,7,2022,"98,100"
percent women,LV,7,2022,17.5%
total employment,MT,7,2022,"28,400"
percent women,MT,7,2022,3.7%
total employment,NL,7,2022,"657,500"
percent women,NL,7,2022,8.2%
total employment,PL,7,2022,"2,448,000"
percent women,PL,7,2022,10.8%
total employment,PT,7,2022,"622,100"
percent women,PT,7,2022,14.7%
total employment,RO,7,2022,"1,383,400"
percent women,RO,7,2022,19.2%
total employment,SE,7,2022,"447,600"
percent women,SE,7,2022,6.9%
total employment,SI,7,2022,"114,900"
percent women,SI,7,2022,9.4%
total employment,SK,7,2022,"384,700"
percent women,SK,7,2022,13.1%
total employment,EU,7.71,2022,"7,862,900"
percent women,EU,7.71,2022,2%
percent unemployed,EU,7.71,2022,3.6%
relative income,EU,7.71,2020,97.6%
total employment,AT,7.71,2022,"193,400"
percent women,AT,7.71,2022,3.6%
total employment,BE,7.71,2022,"236,700"
percent women,BE,7.71,2022,2.3%
total employment,BG,7.71,2022,"132,700"
total employment,CY,7.71,2022,"22,600"
total employment,CZ,7.71,2022,"251,200"
percent women,CZ,7.71,2022,0.8%
total employment,DE,7.71,2022,"1,095,000"
percent women,DE,7.71,2022,2.8%
total employment,DK,7.71,2022,"96,900"
percent women,DK,7.71,2022,6.5%
total employment,EE,7.71,2022,"29,200"
percent women,EE,7.71,2022,3.1%
total employment,EL,7.71,2022,"118,900"
percent women,EL,7.71,2022,3.3%
total employment,ES,7.71,2022,"909,100"
percent women,ES,7.71,2022,1.2%
total employment,FI,7.71,2022,"101,500"
percent women,FI,7.71,2022,3.9%
total employment,FR,7.71,2022,"1,062,900"
percent women,FR,7.71,2022,2.8%
total employment,HR,7.71,2022,"58,100"
total employment,HU,7.71,2022,"193,600"
total employment,IE,7.71,2022,"74,700"
total employment,IT,7.71,2022,"999,000"
percent women,IT,7.71,2022,0.7%
total employment,LT,7.71,2022,"64,200"
percent women,LT,7.71,2022,3.8%
total employment,LU,7.71,2022,"6,100"
total employment,LV,7.71,2022,"28,800"
total employment,NL,7.71,2022,"258,200"
percent women,NL,7.71,2022,3.2%
total employment,PL,7.71,2022,"946,400"
percent women,PL,7.71,2022,2.1%
total employment,PT,7.71,2022,"210,800"
total employment,RO,7.71,2022,"433,500"
total employment,SE,7.71,2022,"192,600"
percent women,SE,7.71,2022,3.4%
total employment,SI,7.71,2022,"29,400"
total employment,SK,7.71,2022,"117,400"
total employment,EU,7.74,2022,"3,113,500"
percent women,EU,7.74,2022,4.5%
percent unemployed,EU,7.74,2022,2%
relative income,EU,7.74,2020,115%
total employment,AT,7.74,2022,"80,800"
total employment,BE,7.74,2022,"72,300"
total employment,BG,7.74,2022,"31,800"
total employment,CY,7.74,2022,"9,300"
total employment,CZ,7.74,2022,"101,200"
percent women,CZ,7.74,2022,3%
total employment,DE,7.74,2022,"754,000"
percent women,DE,7.74,2022,9.1%
total employment,DK,7.74,2022,"26,900"
total employment,EE,7.74,2022,"10,100"
total employment,EL,7.74,2022,"68,600"
total employment,ES,7.74,2022,"331,000"
percent women,ES,7.74,2022,2.8%
total employment,FI,7.74,2022,"39,300"
percent women,FI,7.74,2022,5.2%
total employment,FR,7.74,2022,"307,000"
total employment,HR,7.74,2022,"41,700"
total employment,HU,7.74,2022,"84,400"
total employment,IE,7.74,2022,"38,800"
total employment,IT,7.74,2022,"357,300"
percent women,IT,7.74,2022,1%
total employment,LT,7.74,2022,"16,600"
percent women,LT,7.74,2022,8.2%
total employment,LU,7.74,2022,"3,000"
total employment,LV,7.74,2022,"11,500"
total employment,NL,7.74,2022,"89,700"
total employment,PL,7.74,2022,"253,300"
percent women,PL,7.74,2022,5.5%
total employment,PT,7.74,2022,"79,200"
total employment,RO,7.74,2022,"156,100"
percent women,RO,7.74,2022,9.3%
total employment,SE,7.74,2022,"82,800"
total employment,SI,7.74,2022,"12,800"
total employment,SK,7.74,2022,"53,900"
total employment,EU,7.73,2022,"946,000"
percent women,EU,7.73,2022,36.2%
relative income,EU,7.73,2020,116%
total employment,AT,7.73,2022,"14,800"
total employment,BE,7.73,2022,"9,400"
total employment,BG,7.73,2022,"11,300"
total employment,CY,7.73,2022,"1,400"
total employment,CZ,7.73,2022,"26,100"
percent women,CZ,7.73,2022,37.2%
total employment,DE,7.73,2022,"225,600"
percent women,DE,7.73,2022,37.6%
total employment,DK,7.73,2022,"8,300"
percent women,DK,7.73,2022,43.5%
total employment,EE,7.73,2022,"2,800"
percent women,EE,7.73,2022,48.1%
total employment,EL,7.73,2022,"11,900"
total employment,ES,7.73,2022,"69,100"
percent women,ES,7.73,2022,19.1%
total employment,FI,7.73,2022,"7,500"
percent women,FI,7.73,2022,27.9%
total employment,FR,7.73,2022,"116,800"
percent women,FR,7.73,2022,42%
total employment,HR,7.73,2022,"8,600"
percent women,HR,7.73,2022,17.4%
total employment,HU,7.73,2022,"23,100"
percent women,HU,7.73,2022,53.9%
total employment,IE,7.73,2022,"8,700"
total employment,IT,7.73,2022,"206,500"
percent women,IT,7.73,2022,29%
total employment,LT,7.73,2022,"6,400"
percent women,LT,7.73,2022,76%
total employment,LU,7.73,2022,600
total employment,NL,7.73,2022,"26,500"
percent women,NL,7.73,2022,42%
total employment,PL,7.73,2022,"74,800"
percent women,PL,7.73,2022,42.2%
total employment,PT,7.73,2022,"31,200"
percent women,PT,7.73,2022,58.9%
total employment,RO,7.73,2022,"25,500"
percent women,RO,7.73,2022,50.7%
total employment,SE,7.73,2022,"13,100"
percent women,SE,7.73,2022,29.1%
total employment,SI,7.73,2022,"6,300"
total employment,SK,7.73,2022,"7,100"
total employment,EU,7.72,2022,"7,537,300"
percent women,EU,7.72,2022,4.2%
percent unemployed,EU,7.72,2022,2.1%
relative income,EU,7.72,2020,108.4%
total employment,AT,7.72,2022,"176,800"
percent women,AT,7.72,2022,5.5%
total employment,BE,7.72,2022,"115,900"
percent women,BE,7.72,2022,3.5%
total employment,BG,7.72,2022,"107,800"
percent women,BG,7.72,2022,10.7%
total employment,CY,7.72,2022,"9,200"
total employment,CZ,7.72,2022,"304,600"
percent women,CZ,7.72,2022,3.1%
total employment,DE,7.72,2022,"1,949,400"
percent women,DE,7.72,2022,5.6%
total employment,DK,7.72,2022,"69,300"
total employment,EE,7.72,2022,"33,100"
percent women,EE,7.72,2022,3.6%
total employment,EL,7.72,2022,"104,800"
total employment,ES,7.72,2022,"598,700"
percent women,ES,7.72,2022,1.3%
total employment,FI,7.72,2022,"81,500"
percent women,FI,7.72,2022,3.1%
total employment,FR,7.72,2022,"814,500"
percent women,FR,7.72,2022,4.3%
total employment,HR,7.72,2022,"77,200"
percent women,HR,7.72,2022,3.7%
total employment,HU,7.72,2022,"221,100"
percent women,HU,7.72,2022,2.9%
total employment,IE,7.72,2022,"58,300"
total employment,IT,7.72,2022,"904,200"
percent women,IT,7.72,2022,3.3%
total employment,LT,7.72,2022,"52,200"
percent women,LT,7.72,2022,3.2%
total employment,LU,7.72,2022,"5,100"
total employment,LV,7.72,2022,"33,300"
total employment,NL,7.72,2022,"165,400"
percent women,NL,7.72,2022,2.1%
total employment,PL,7.72,2022,"729,300"
percent women,PL,7.72,2022,4.5%
total employment,PT,7.72,2022,"166,000"
percent women,PT,7.72,2022,3.5%
total employment,RO,7.72,2022,"462,000"
percent women,RO,7.72,2022,4.7%
total employment,SE,7.72,2022,"129,900"
percent women,SE,7.72,2022,4.3%
total employment,SI,7.72,2022,"44,100"
percent women,SI,7.72,2022,4.7%
total employment,SK,7.72,2022,"123,500"
total employment,EU,7.75,2022,"3,868,200"
percent women,EU,7.75,2022,39.8%
percent unemployed,EU,7.75,2022,3.4%
relative income,EU,7.75,2020,80.1%
total employment,AT,7.75,2022,"79,800"
percent women,AT,7.75,2022,34.2%
total employment,BE,7.75,2022,"59,900"
percent women,BE,7.75,2022,28.1%
total employment,BG,7.75,2022,"100,100"
percent women,BG,7.75,2022,73.3%
total employment,CY,7.75,2022,"5,800"
percent women,CY,7.75,2022,30.4%
total employment,CZ,7.75,2022,"133,300"
percent women,CZ,7.75,2022,46.9%
total employment,DE,7.75,2022,"670,800"
percent women,DE,7.75,2022,33.3%
total employment,DK,7.75,2022,"17,200"
percent women,DK,7.75,2022,23.1%
total employment,EE,7.75,2022,"15,100"
percent women,EE,7.75,2022,48.8%
total employment,EL,7.75,2022,"77,300"
percent women,EL,7.75,2022,20.1%
total employment,ES,7.75,2022,"276,900"
percent women,ES,7.75,2022,40.5%
total employment,FI,7.75,2022,"24,300"
percent women,FI,7.75,2022,41.7%
total employment,FR,7.75,2022,"471,200"
percent women,FR,7.75,2022,30.1%
total employment,HR,7.75,2022,"30,700"
percent women,HR,7.75,2022,34.3%
total employment,HU,7.75,2022,"102,500"
percent women,HU,7.75,2022,46.1%
total employment,IE,7.75,2022,"38,600"
percent women,IE,7.75,2022,23.5%
total employment,IT,7.75,2022,"591,200"
percent women,IT,7.75,2022,34.4%
total employment,LT,7.75,2022,"50,200"
percent women,LT,7.75,2022,65.2%
total employment,LU,7.75,2022,"1,300"
total employment,LV,7.75,2022,"21,700"
percent women,LV,7.75,2022,61.8%
total employment,NL,7.75,2022,"82,100"
percent women,NL,7.75,2022,31.1%
total employment,PL,7.75,2022,"443,000"
percent women,PL,7.75,2022,37.2%
total employment,PT,7.75,2022,"134,800"
percent women,PT,7.75,2022,48.3%
total employment,RO,7.75,2022,"306,200"
percent women,RO,7.75,2022,68.8%
total employment,SE,7.75,2022,"29,300"
percent women,SE,7.75,2022,42.6%
total employment,SI,7.75,2022,"22,200"
percent women,SI,7.75,2022,30.1%
total employment,SK,7.75,2022,"82,700"
percent women,SK,7.75,2022,50.3%
