isco_3digit,group_label,ai_product_exposure_score,onet_4digit,webb_exposure_score,felten_exposure_score
751,Food processing and related trades workers,-1.0205925204736865,51-30,37.42857142857143,-0.8558571428571429
622,"Fishery workers, hunters and trappers",-1.0254508975156817,19-40,80.9375,0.1958
816,Food and related products machine operators,-1.0417567554376286,51-30,37.42857142857143,-0.8558571428571429
835,Ships’ deck crews and related workers,-1.0747408560341962,53-50,67.66666666666667,-0.74775
515,Building and housekeeping supervisors,-1.1040062755362994,37-20,45.333333333333336,-1.2143333333333333
523,Cashiers and ticket clerks,-1.1507180776902863,41-20,20.2,-0.0502
513,Waiters and bartenders,-1.189167274860347,35-30,6.833333333333333,-0.6614
912,"Vehicle, window, laundry and other hand cleaning workers",-1.2173103819045386,33-90,60,-0.122875
818,Other stationary plant and machine operators,-1.27439563070001,51-91,56.166666666666664,-1.0627333333333333
811,Mining and mineral processing plant operators,-1.2997595465160912,47-50,59.63636363636363,-1.2222727272727272
941,Food preparation assistants,-1.3321504461802542,35-20,17.666666666666668,-0.7828333333333333
711,Building frame and related trades workers,-1.3583810482343661,47-20,47.411764705882355,-1.4614375
521,Street and market salespersons,-1.3762911093416956,41-90,36.857142857142854,0.6267142857142857
931,Mining and construction labourers,-1.4322511145327037,47-40,62.6,-0.99
752,"Wood treaters, cabinet-makers and related trades workers",-1.4383686793713157,51-70,61,-1.101
731,Handicraft workers,-1.4730922700241242,51-90,66.25,-0.6973571428571428
512,Cooks,-1.4868203093603674,35-20,17.666666666666668,-0.7828333333333333
951,Street and related service workers,-1.5442560086358512,41-90,36.857142857142854,0.6267142857142857
962,Other elementary workers,-1.6837775277364897,39-30,42.42857142857143,-0.20257142857142857
814,"Rubber, plastic and paper products machine operators",-1.7193407312964764,51-91,56.166666666666664,-1.0627333333333333
813,Chemical and photographic products plant and machine operators,-1.786134877332473,51-90,66.25,-0.6973571428571428
911,"Domestic, hotel and office cleaners and helpers",-1.9521142267987248,37-20,45.333333333333336,-1.2143333333333333
921,"Agricultural, forestry and fishery labourers",-2.015733448128099,45-20,91.42857142857143,-1.0165
932,Manufacturing labourers,-2.557977773426448,53-70,67.53333333333333,-1.1589333333333334
